,result,eco,move_no,avg_rating
3980,-1,0,60,1559
3981,-1,120,48,1487
3982,0,220,149,1571
3983,1,4,25,1560
3984,1,121,93,1112
3985,1,40,103,1674
3986,1,0,31,1513
3987,1,107,127,1719
3988,-1,225,46,1319
3989,1,101,57,1715
3990,1,40,145,1513
3991,-1,102,66,1493
3992,1,300,73,1631
3993,-1,243,32,1327
3994,-1,245,122,1750
3995,-1,0,40,1313
3996,-1,101,120,1395
3997,1,41,67,1532
3998,-1,230,72,1624
3999,-1,120,62,1452
4000,1,200,39,1571
4001,1,320,53,1427
4002,1,241,129,1565
4003,1,102,53,1152
4004,1,244,83,1674
4005,-1,244,122,1647
4006,1,244,27,1446
4007,-1,222,64,1563
4008,-1,241,148,1674
4009,1,223,71,1537
4010,-1,300,40,1422
4011,1,106,79,1225
4012,1,220,17,1493
4013,1,250,21,1559
4014,-1,302,58,1537
4015,-1,246,66,1222
4016,-1,40,24,1396
4017,1,106,75,1669
4018,-1,241,56,1584
4019,-1,4,78,1349
4020,1,202,115,1584
4021,-1,100,54,1335
4022,1,432,27,1520
4023,-1,300,28,1446
4024,1,202,55,1595
4025,-1,262,102,1646
4026,-1,265,110,1343
4027,-1,0,56,1511
4028,1,241,35,1607
4029,1,253,67,1511
4030,-1,310,52,1604
4031,-1,45,44,1515
4032,-1,331,134,1651
4033,1,41,139,1691
4034,-1,300,72,1379
4035,-1,240,16,1416
4036,1,277,63,1267
4037,-1,302,62,1729
4038,-1,10,52,1575
4039,-1,53,148,1512
4040,1,101,59,1372
4041,-1,250,68,1481
4042,1,241,17,1749
4043,1,300,41,1381
4044,-1,222,118,1749
4045,1,240,71,1430
4046,-1,242,38,1480
4047,1,200,79,1421
4048,1,264,125,1606
4049,1,220,57,1521
4050,0,200,145,1671
4051,-1,241,104,1377
4052,-1,335,26,1557
4053,-1,220,46,1736
4054,1,302,77,1679
4055,1,302,37,1637
4056,1,140,33,1640
4057,1,300,71,1519
4058,1,4,63,1489
4059,-1,310,64,1482
4060,1,246,59,1434
4061,1,220,87,1603
4062,1,200,129,1552
4063,1,300,81,1349
4064,-1,222,124,1583
4065,-1,1,32,1523
4066,-1,304,66,1541
4067,1,200,53,1539
4068,-1,301,68,1344
4069,1,220,27,1382
4070,1,0,43,1325
4071,1,220,75,1257
4072,-1,241,50,1476
4073,-1,0,120,1552
4074,-1,101,106,1479
4075,-1,240,18,1586
4076,-1,255,72,1713
4077,1,101,87,1463
4078,1,300,103,1340
4079,1,106,71,1563
4080,-1,0,100,1514
4081,1,176,75,1590
4082,1,40,65,1482
4083,-1,247,46,1617
4084,1,304,61,1552
4085,1,101,55,1452
4086,-1,3,66,1337
4087,-1,200,92,1552
4088,1,0,37,1386
4089,1,0,51,1199
4090,-1,0,32,1483
4091,-1,121,70,1592
4092,1,320,51,1302
4093,-1,300,32,1609
4094,1,245,55,1526
4095,-1,0,34,1588
4096,-1,0,68,1327
4097,-1,220,58,1332
4098,-1,226,64,1519
4099,-1,222,42,1608
4100,1,221,81,1404
4101,1,101,27,1354
4102,-1,101,80,1470
4103,1,262,41,1537
4104,-1,220,36,1550
4105,1,223,11,1538
4106,1,220,93,1177
4107,1,0,103,1333
4108,1,40,35,1591
4109,1,262,69,1652
4110,-1,100,36,1537
4111,-1,41,110,1181
4112,-1,246,106,1538
4113,1,130,49,1578
4114,0,255,94,1493
4115,1,257,51,1789
4116,-1,106,64,1404
4117,-1,242,54,1584
4118,-1,246,32,1490
4119,1,257,21,1377
4120,-1,246,56,1531
4121,1,101,69,1503
4122,-1,244,62,1484
4123,1,241,65,1611
4124,-1,40,40,1195
4125,-1,246,56,1538
4126,-1,222,72,1530
4127,1,103,53,1428
4128,-1,262,40,1524
4129,1,220,29,1500
4130,-1,220,56,1443
4131,-1,220,62,1386
4132,1,241,45,1373
4133,-1,0,74,1651
4134,1,200,41,1477
4135,1,223,29,1439
4136,-1,262,26,1607
4137,-1,241,98,1439
4138,1,9,51,1426
4139,-1,241,50,1605
4140,-1,0,64,1694
4141,1,152,123,1737
4142,-1,241,62,1629
4143,1,306,99,1479
4144,-1,4,70,1460
4145,-1,241,96,1388
4146,1,320,79,1507
4147,0,1,148,1465
4148,-1,240,10,1388
4149,1,224,17,1547
4150,-1,221,74,1388
4151,1,249,49,1594
4152,1,100,61,1278
4153,1,100,53,1367
4154,0,233,110,1597
4155,1,260,57,1553
4156,-1,107,82,1451
4157,0,300,131,1544
4158,1,101,85,1596
4159,1,101,119,1389
4160,-1,101,58,1377
4161,1,245,67,1403
4162,-1,245,42,1414
4163,1,307,47,1458
4164,1,220,31,1443
4165,-1,40,68,1534
4166,-1,102,136,1291
4167,1,100,69,1570
4168,1,240,75,1540
4169,1,241,65,1609
4170,-1,241,80,1660
4171,1,220,61,1614
4172,0,0,112,1608
4173,1,241,25,1566
4174,-1,100,88,1776
4175,1,224,57,1408
4176,0,310,115,1792
4177,1,202,55,1293
4178,-1,220,74,1408
4179,-1,107,70,1481
4180,-1,100,66,1557
4181,1,241,129,1738
4182,1,101,83,1243
4183,-1,150,74,1689
4184,-1,101,32,1227
4185,-1,200,50,1342
4186,-1,262,72,1364
4187,-1,222,86,1386
4188,1,200,63,1564
4189,0,0,144,1456
4190,1,321,73,1398
4191,-1,0,96,1485
4192,1,40,111,1549
4193,1,9,77,1809
4194,1,200,53,1337
4195,-1,220,54,1578
4196,1,100,67,1701
4197,1,220,121,1472
4198,1,40,35,1577
4199,-1,224,122,1608
4200,1,101,23,1324
4201,1,200,45,1314
4202,1,200,109,1572
4203,-1,325,74,1547
4204,-1,101,74,1336
4205,1,241,83,1565
4206,1,0,71,1522
4207,-1,302,36,1395
4208,-1,246,48,1551
4209,-1,121,72,1523
4210,-1,100,70,1406
4211,1,220,93,1568
4212,1,241,73,1630
4213,-1,107,108,1177
4214,1,101,79,1458
4215,1,240,27,1590
4216,-1,265,68,1704
4217,-1,245,32,1802
4218,-1,57,94,1572
4219,1,200,105,1550
4220,1,121,123,1663
4221,-1,227,102,1633
4222,-1,320,64,1328
4223,1,100,49,1705
4224,-1,264,54,1705
4225,-1,255,52,1614
4226,-1,220,8,1217
4227,1,0,53,1216
4228,-1,100,58,1548
4229,-1,110,102,1603
4230,1,150,39,1540
4231,-1,108,72,1384
4232,-1,120,94,1193
4233,1,250,99,1676
4234,-1,202,42,1697
4235,0,0,140,1561
4236,-1,101,40,1401
4237,1,223,43,1544
4238,-1,228,70,1611
4239,-1,0,100,1401
4240,1,264,49,1703
4241,0,0,97,1457
4242,-1,111,40,1312
4243,1,40,131,1633
4244,-1,107,108,1547
4245,1,310,43,1377
4246,-1,241,66,1535
4247,-1,0,144,1257
4248,0,223,122,1634
4249,0,223,123,1634
4250,1,220,85,1444
4251,1,224,23,1470
4252,-1,264,90,1470
4253,-1,244,54,1505
4254,-1,120,52,1325
4255,-1,0,8,1375
4256,-1,101,56,1602
4257,1,260,119,1510
4258,-1,242,54,1595
4259,-1,244,86,1690
4260,-1,100,52,1549
4261,-1,223,138,1419
4262,1,112,67,1329
4263,1,111,51,1346
4264,-1,306,90,1476
4265,1,221,69,1749
4266,1,220,127,1267
4267,1,107,95,1465
4268,-1,320,146,1633
4269,-1,100,146,1424
4270,-1,301,28,1680
4271,-1,40,46,1100
4272,1,302,31,1623
4273,1,244,91,1499
4274,1,100,63,1601
4275,1,220,69,1555
4276,-1,100,44,1464
4277,-1,0,70,1390
4278,-1,248,48,1450
4279,1,250,123,1493
4280,-1,41,68,1535
4281,1,200,33,1760
4282,1,100,83,1527
4283,-1,220,94,1450
4284,1,242,35,1415
4285,-1,0,64,1453
4286,1,54,109,1580
4287,1,210,39,1704
4288,1,101,77,1401
4289,1,100,41,1381
4290,-1,261,86,1431
4291,-1,245,108,1590
4292,1,107,29,1305
4293,1,220,55,1588
4294,1,41,69,1537
4295,-1,200,102,1452
4296,0,40,89,1574
4297,1,43,89,1332
4298,1,240,67,1480
4299,1,40,29,1568
4300,-1,0,118,1566
4301,0,100,127,1708
4302,-1,241,30,1697
4303,-1,220,84,1320
4304,1,40,77,1621
4305,-1,220,20,1438
4306,1,250,53,1454
4307,1,220,59,1435
4308,1,255,69,1765
4309,-1,240,32,1398
4310,-1,201,50,1753
4311,1,190,51,1673
4312,1,320,29,1543
4313,-1,265,64,1410
4314,-1,220,42,1418
4315,1,7,53,1356
4316,-1,306,94,1627
4317,1,110,31,1552
4318,1,255,67,1375
4319,1,40,37,1068
4320,1,200,45,1646
4321,-1,30,30,1239
4322,1,266,89,1645
4323,1,0,87,1724
4324,1,40,59,1219
4325,1,220,7,1636
4326,1,220,13,1673
4327,-1,0,42,1705
4328,1,102,15,1274
4329,-1,21,72,1513
4330,0,202,139,1754
4331,-1,262,102,1449
4332,1,140,37,1730
4333,1,244,147,1567
4334,1,220,27,1625
4335,1,242,69,1344
4336,1,223,17,1447
4337,1,27,45,1377
4338,-1,0,66,1709
4339,-1,120,142,1509
4340,0,222,148,1442
4341,-1,40,36,1320
4342,-1,0,88,1667
4343,1,200,31,1368
4344,0,300,79,1304
4345,1,300,79,1679
4346,1,255,17,1447
4347,-1,220,38,1594
4348,-1,320,66,1612
4349,1,241,47,1467
4350,-1,220,54,1445
4351,1,240,97,1479
4352,1,257,25,1660
4353,1,264,29,1644
4354,1,330,95,1568
4355,-1,255,48,1521
4356,0,200,132,1328
4357,-1,101,40,1660
4358,0,202,114,1604
4359,-1,241,114,1567
4360,-1,246,58,1567
4361,1,224,35,1677
4362,1,240,95,1660
4363,-1,250,54,1638
4364,1,40,59,1567
4365,1,240,49,1629
4366,1,200,89,1743
4367,1,40,55,1393
4368,-1,202,66,1567
4369,-1,335,58,1818
4370,1,220,41,1515
4371,-1,40,84,1358
4372,1,330,127,1567
4373,1,0,49,1480
4374,1,255,111,1653
4375,0,0,117,1582
4376,1,202,63,1528
4377,-1,245,122,1567
4378,1,245,53,1567
4379,-1,1,40,1370
4380,1,223,31,1599
4381,1,150,41,1540
4382,-1,257,28,1475
4383,-1,264,38,1527
4384,-1,438,52,1658
4385,-1,130,74,1509
4386,1,264,101,1618
4387,1,0,59,1480
4388,1,241,35,1449
4389,1,20,73,1336
4390,1,1,55,1708
4391,1,20,35,1547
4392,1,236,49,1547
4393,1,240,81,1478
4394,-1,220,116,1480
4395,-1,120,52,1547
4396,-1,221,44,1462
4397,1,330,67,1499
4398,1,331,39,1596
4399,1,13,53,1548
4400,-1,264,108,1557
4401,-1,120,30,1273
4402,1,243,39,1359
4403,-1,110,146,1571
4404,1,246,51,1463
4405,-1,220,46,1154
4406,1,320,15,1522
4407,-1,250,38,1557
4408,1,224,31,1522
4409,-1,106,70,1770
4410,1,244,43,1557
4411,1,152,35,1345
4412,-1,277,70,1554
4413,1,225,69,1442
4414,1,120,67,1311
4415,-1,232,58,1556
4416,-1,228,48,1683
4417,1,200,101,1382
4418,-1,0,50,1586
4419,0,201,148,1409
4420,-1,268,108,1713
4421,-1,223,62,1474
4422,-1,110,46,1492
4423,1,257,55,1375
4424,-1,224,98,1488
4425,1,211,37,1778
4426,-1,231,68,1557
4427,1,210,103,1803
4428,-1,21,118,1549
4429,-1,223,22,1483
4430,1,335,91,1777
4431,-1,244,74,1464
4432,1,260,75,1556
4433,1,40,73,1257
4434,-1,246,44,1515
4435,1,320,97,1516
4436,1,325,57,1377
4437,1,241,39,1545
4438,-1,248,22,1461
4439,-1,125,58,1463
4440,-1,224,58,1573
4441,1,241,75,1367
4442,1,102,43,1576
4443,-1,40,90,1305
4444,1,40,71,1493
4445,1,40,69,1583
4446,-1,310,34,1560
4447,-1,210,78,1403
4448,1,241,119,1490
4449,1,288,67,1632
4450,1,234,79,1684
4451,-1,224,96,1499
4452,1,220,65,1238
4453,1,10,69,1653
4454,-1,253,44,1475
4455,-1,400,74,1584
4456,1,320,43,1681
4457,-1,6,36,1535
4458,-1,241,64,1595
4459,1,240,25,1356
4460,1,257,43,1729
4461,-1,200,54,1667
4462,1,300,149,1329
4463,-1,241,92,1557
4464,1,220,33,1595
4465,1,50,55,1422
4466,1,244,43,1774
4467,-1,40,66,1314
4468,1,300,127,1442
4469,1,112,81,1548
4470,-1,220,40,1320
4471,1,240,65,1318
4472,1,106,91,1529
4473,1,308,51,1376
4474,-1,200,46,1501
4475,1,0,59,1302
4476,-1,101,66,1434
4477,-1,202,70,1580
4478,1,100,115,1424
4479,-1,0,42,1501
4480,-1,241,76,1599
4481,-1,200,44,1501
4482,-1,241,150,1278
4483,1,106,41,1485
4484,-1,330,28,1424
4485,1,220,75,1271
4486,1,265,27,1450
4487,1,107,71,1632
4488,1,132,29,1708
4489,1,40,33,1453
4490,0,190,144,1733
4491,1,260,107,1536
4492,-1,242,96,1503
4493,1,220,103,1249
4494,1,240,45,1420
4495,1,190,63,1695
4496,1,240,67,1428
4497,1,320,25,1670
4498,1,200,53,1189
4499,-1,300,44,1514
4500,-1,320,42,1669
4501,-1,224,76,1531
4502,1,202,33,1406
4503,1,241,75,1503
4504,-1,302,34,1316
4505,1,255,49,1702
4506,1,40,79,1630
4507,1,241,131,1702
4508,1,90,89,1706
4509,1,300,43,1402
4510,-1,220,60,1364
4511,-1,120,48,1393
4512,1,101,81,1770
4513,1,255,35,1413
4514,1,300,81,1532
4515,-1,300,72,1385
4516,-1,20,40,1512
4517,1,220,51,1192
4518,1,40,107,1194
4519,1,343,65,1291
4520,0,240,123,1212
4521,1,230,33,1628
4522,1,100,99,1561
4523,1,223,77,1461
4524,1,300,111,1480
4525,1,224,85,1452
4526,-1,300,102,1462
4527,-1,300,56,1493
4528,-1,300,28,1549
4529,1,0,99,1479
4530,-1,104,104,1586
4531,-1,40,52,1526
4532,-1,220,76,1585
4533,-1,246,66,1525
4534,-1,304,52,1755
4535,1,100,59,1624
4536,-1,223,66,1356
4537,-1,4,74,1357
4538,1,240,67,1626
4539,-1,220,86,1488
4540,1,241,51,1414
4541,1,227,55,1489
4542,-1,40,44,1597
4543,1,112,71,1576
4544,1,250,13,1602
4545,1,220,99,1588
4546,1,242,29,1572
4547,-1,120,58,1515
4548,-1,244,30,1570
4549,1,223,71,1375
4550,1,35,73,1515
4551,1,220,141,1578
4552,-1,100,84,1631
4553,-1,100,72,1255
4554,-1,220,88,1628
4555,1,242,69,1358
4556,1,249,119,1469
4557,-1,120,30,1605
4558,1,350,35,1687
4559,-1,241,106,1449
4560,1,420,91,1578
4561,1,225,43,1454
4562,0,244,118,1578
4563,0,244,122,1578
4564,0,244,124,1578
4565,-1,120,76,1594
4566,1,100,33,1442
4567,1,270,59,1528
4568,-1,43,84,1271
4569,1,105,123,1798
4570,1,46,51,1573
4571,1,244,101,1428
4572,1,80,41,1453
4573,-1,120,80,1685
4574,1,200,61,1261
4575,1,10,47,1412
4576,-1,123,36,1457
4577,-1,123,40,1703
4578,1,0,61,1411
4579,1,100,99,1362
4580,1,10,79,1414
4581,1,241,33,1579
4582,1,34,71,1940
4583,1,268,87,1417
4584,1,306,69,1271
4585,1,0,115,1413
4586,-1,269,22,1436
4587,1,240,21,1384
4588,1,210,99,1563
4589,-1,0,66,1394
4590,-1,220,46,1305
4591,1,311,129,1531
4592,1,246,57,1424
4593,-1,245,82,1539
4594,-1,223,68,1353
4595,1,241,107,1535
4596,-1,101,128,1406
4597,-1,268,38,1666
4598,-1,106,46,1561
4599,-1,202,52,1597
4600,-1,200,66,1445
4601,1,240,23,1413
4602,1,150,141,1560
4603,1,226,63,1619
4604,-1,201,90,1580
4605,0,202,121,1550
4606,-1,13,56,1466
4607,1,100,95,1366
4608,1,220,77,1472
4609,-1,220,28,1676
4610,-1,6,66,1600
4611,-1,200,64,1343
4612,0,110,128,1512
4613,1,46,97,1669
4614,0,220,111,1443
4615,-1,220,60,1240
4616,1,220,85,1241
4617,1,4,53,1500
4618,0,220,134,1453
4619,1,400,105,1239
4620,0,101,122,1202
4621,1,7,79,1522
4622,-1,45,70,1780
4623,0,249,134,1650
4624,1,110,43,1530
4625,1,224,111,1565
4626,1,200,87,1519
4627,0,40,124,1416
4628,0,40,143,1416
4629,0,40,144,1416
4630,-1,101,54,1474
4631,1,15,63,1592
4632,1,220,9,1526
4633,-1,262,80,1410
4634,1,130,17,1557
4635,-1,120,106,1379
4636,1,0,111,1514
4637,-1,100,68,1570
4638,1,40,39,1357
4639,1,335,125,1666
4640,-1,220,140,1360
4641,1,40,41,1357
4642,1,100,19,1413
4643,1,223,87,1498
4644,1,200,45,1408
4645,1,302,87,1648
4646,1,315,73,1379
4647,-1,130,46,1773
4648,-1,300,66,1671
4649,1,220,73,1521
4650,0,49,127,1705
4651,-1,223,100,1645
4652,1,200,29,1392
4653,-1,0,54,1344
4654,-1,220,82,1703
4655,1,300,85,1222
4656,-1,410,72,1379
4657,0,106,81,1818
4658,0,106,82,1818
4659,0,250,128,1586
4660,1,100,111,1569
4661,-1,80,22,1404
4662,1,227,109,1642
4663,1,3,45,1481
4664,-1,200,90,1527
4665,1,241,71,1578
4666,1,107,85,1399
4667,-1,220,70,1353
4668,1,220,75,1642
4669,-1,224,110,1624
4670,-1,84,112,1390
4671,1,242,127,1273
4672,1,223,43,1439
4673,-1,220,46,1490
4674,1,227,63,1642
4675,-1,170,56,1713
4676,1,3,59,1383
4677,1,320,75,1601
4678,1,50,101,1430
4679,1,100,61,1728
4680,1,221,39,1378
4681,1,4,43,1441
4682,-1,132,70,1528
4683,-1,255,52,1721
4684,-1,1,54,1605
4685,0,2,84,1442
4686,0,2,85,1442
4687,0,2,86,1442
4688,0,2,87,1442
4689,0,2,88,1442
4690,0,2,89,1442
4691,0,2,90,1442
4692,0,2,91,1442
4693,0,2,92,1442
4694,0,2,93,1442
4695,1,255,83,1357
4696,-1,101,104,1447
4697,-1,255,38,1551
4698,1,121,59,1390
4699,1,454,31,1601
4700,-1,102,128,1494
4701,1,264,47,1622
4702,1,240,11,1203
4703,-1,220,32,1225
4704,1,307,41,1603
4705,-1,127,60,1390
4706,-1,245,70,1657
4707,-1,244,64,1305
4708,0,220,114,1568
4709,1,100,91,1431
4710,1,220,109,1353
4711,1,260,73,1593
4712,1,250,11,1394
4713,-1,50,22,1637
4714,1,107,61,1439
4715,-1,223,62,1529
4716,-1,220,92,1577
4717,-1,289,54,1816
4718,-1,250,92,1617
4719,1,200,33,1314
4720,1,45,37,1439
4721,1,120,21,1489
4722,1,260,27,1575
4723,1,242,61,1528
4724,1,107,75,1439
4725,-1,240,36,1710
4726,1,107,99,1462
4727,1,200,49,1205
4728,1,40,49,1611
4729,1,241,67,1380
4730,1,270,47,1483
4731,1,100,55,1586
4732,-1,202,80,1475
4733,1,300,75,1528
4734,-1,253,108,1623
4735,-1,300,66,1455
4736,1,227,93,1526
4737,1,223,67,1637
4738,-1,201,38,1475
4739,0,331,146,1488
4740,1,224,77,1511
4741,1,326,127,1522
4742,-1,300,144,1666
4743,1,102,33,1311
4744,-1,241,102,1532
4745,-1,220,44,1439
4746,-1,253,74,1617
4747,-1,240,34,1481
4748,1,307,31,1636
4749,-1,40,48,1518
4750,-1,0,62,1454
4751,-1,226,28,1619
4752,-1,220,108,1730
4753,1,101,19,1521
4754,1,344,59,1717
4755,-1,220,68,1588
4756,1,241,57,1378
4757,-1,222,44,1451
4758,1,300,89,1181
4759,1,245,61,1561
4760,-1,222,116,1422
4761,-1,302,90,1173
4762,1,107,125,1433
4763,-1,101,88,1540
4764,1,121,149,1615
4765,-1,277,74,1196
4766,1,220,85,1598
4767,-1,0,30,1724
4768,1,262,133,1610
4769,-1,0,52,1648
4770,-1,113,68,1329
4771,-1,220,48,1466
4772,1,220,123,1665
4773,-1,241,86,1499
4774,-1,45,126,1497
4775,1,9,69,1312
4776,1,300,33,1432
4777,1,300,65,1605
4778,-1,101,132,1566
4779,1,246,113,1131
4780,1,306,89,1379
4781,1,1,53,1667
4782,-1,200,122,1573
4783,1,490,105,1431
4784,1,226,89,1616
4785,1,264,59,1508
4786,1,255,91,1352
4787,-1,102,42,1592
4788,1,10,43,1588
4789,1,220,87,1618
4790,-1,130,52,1663
4791,-1,0,118,1468
4792,1,101,37,1490
4793,-1,220,42,1389
4794,1,230,45,1421
4795,1,100,55,1627
4796,0,21,102,1366
4797,1,121,65,1568
4798,1,220,117,1454
4799,-1,0,112,1605
4800,0,100,131,1610
4801,-1,120,50,1393
4802,1,220,31,1423
4803,1,230,29,1643
4804,-1,220,118,1278
4805,-1,121,64,1544
4806,-1,223,56,1632
4807,1,112,109,1484
4808,1,41,117,1619
4809,-1,100,62,1623
4810,1,307,39,1545
4811,1,241,33,1339
4812,1,1,141,1456
4813,1,201,59,1348
4814,0,120,109,1740
4815,-1,227,68,1634
4816,-1,222,52,1528
4817,1,101,63,1235
4818,-1,129,52,1555
4819,-1,120,62,1667
4820,-1,43,50,1741
4821,0,220,133,1643
4822,-1,250,60,1376
4823,-1,223,48,1523
4824,-1,224,64,1560
4825,-1,257,48,1494
4826,-1,220,28,1366
4827,-1,241,98,1581
4828,-1,200,144,1597
4829,-1,220,56,1339
4830,1,221,57,1749
4831,-1,0,42,1554
4832,1,242,49,1539
4833,1,220,55,1581
4834,1,244,65,1643
4835,0,223,119,1341
4836,1,343,55,1663
4837,-1,103,62,1651
4838,1,220,103,1563
4839,1,255,59,1400
4840,-1,120,52,1470
4841,1,200,107,1566
4842,1,220,79,1482
4843,-1,306,70,1542
4844,1,268,127,1345
4845,-1,120,64,1634
4846,-1,220,58,1424
4847,1,200,63,1588
4848,-1,255,40,1436
4849,-1,221,66,1400
4850,1,255,81,1570
4851,1,330,105,1381
4852,1,223,61,1573
4853,-1,301,108,1566
4854,-1,220,54,1482
4855,-1,127,44,1838
4856,1,240,65,1415
4857,1,302,47,1548
4858,1,244,105,1541
4859,-1,306,60,1542
4860,1,245,61,1583
4861,1,200,39,1538
4862,1,240,43,1572
4863,-1,262,60,1462
4864,-1,244,56,1525
4865,1,241,49,1514
4866,1,220,67,1671
4867,-1,241,50,1541
4868,1,205,83,1356
4869,-1,241,132,1448
4870,1,200,77,1465
4871,1,21,73,1543
4872,-1,269,56,1792
4873,-1,240,116,1667
4874,1,120,71,1227
4875,1,100,11,1429
4876,-1,120,80,1534
4877,1,262,123,1549
4878,-1,220,100,1698
4879,1,21,127,1528
4880,1,330,121,1798
4881,-1,240,46,1231
4882,-1,302,38,1481
4883,1,43,137,1550
4884,1,300,65,1264
4885,1,101,53,1473
4886,-1,100,36,1283
4887,0,202,123,1639
4888,-1,34,100,1878
4889,1,241,39,1684
4890,1,100,61,1658
4891,-1,200,54,1368
4892,1,242,67,1540
4893,1,202,91,1518
4894,0,240,100,1432
4895,1,220,43,1447
4896,1,101,119,1497
4897,-1,227,30,1284
4898,1,223,7,1548
4899,1,220,63,1293
4900,1,308,41,1685
4901,1,300,69,1285
4902,-1,220,34,1433
4903,1,129,27,1516
4904,1,220,41,1319
4905,-1,241,38,1505
4906,1,250,69,1438
4907,0,223,102,1311
4908,1,241,63,1513
4909,1,0,35,1524
4910,1,315,37,1544
4911,-1,220,32,1536
4912,-1,223,112,1316
4913,0,40,139,1296
4914,1,40,43,1473
4915,0,200,150,1524
4916,1,113,145,1667
4917,1,255,91,1819
4918,1,220,29,1643
4919,1,241,101,1403
4920,1,241,67,1566
4921,1,101,61,1530
4922,-1,220,82,1643
4923,1,244,81,1498
4924,1,40,25,1406
4925,1,228,111,1570
4926,0,101,126,1893
4927,1,241,51,1404
4928,-1,2,38,1408
4929,1,255,23,1574
4930,1,220,47,1405
4931,-1,302,48,1401
4932,-1,123,118,1699
4933,-1,300,120,1135
4934,1,40,57,1497
4935,1,240,105,1404
4936,1,247,97,1354
4937,1,215,115,1399
4938,-1,306,104,1387
4939,-1,101,78,1638
4940,-1,220,64,1545
4941,1,101,59,1384
4942,-1,220,46,1404
4943,1,265,49,1677
4944,1,220,13,1336
4945,1,400,77,1678
4946,1,200,137,1532
4947,1,268,21,1405
4948,-1,100,86,1443
4949,1,240,59,1342
4950,-1,220,106,1436
4951,-1,200,124,1365
4952,1,4,63,1535
4953,-1,257,56,1443
4954,1,268,47,1327
4955,1,260,69,1484
4956,-1,6,58,1443
4957,-1,353,96,1744
4958,-1,224,42,1314
4959,1,0,77,1546
4960,-1,245,60,1458
4961,-1,244,70,1522
4962,-1,226,76,1523
4963,-1,130,70,1661
4964,-1,100,78,1396
4965,-1,120,30,1515
4966,1,200,35,1500
4967,-1,226,76,1525
4968,-1,41,64,1855
4969,-1,200,118,1530
4970,1,320,41,1438
4971,-1,120,58,1607
4972,-1,125,76,1612
4973,1,40,87,1261
4974,1,200,75,1454
4975,1,226,113,1562
4976,-1,40,52,1363
4977,-1,200,72,1499
4978,1,226,65,1589
4979,1,220,15,1242
4980,-1,220,10,1239
4981,-1,230,48,1692
4982,1,220,7,1291
4983,-1,0,78,1324
4984,-1,6,48,1585
4985,-1,244,50,1608
4986,1,306,73,1629
4987,1,4,45,1628
4988,1,228,19,1631
4989,-1,454,40,1604
4990,1,101,81,1654
4991,1,320,41,1640
4992,1,220,15,1682
4993,-1,310,62,1644
4994,-1,120,66,1507
4995,-1,302,78,1606
4996,-1,80,32,1481
4997,1,46,51,1388
4998,1,2,53,1667
4999,1,100,47,1348
5000,-1,241,66,1544
5001,1,102,79,1730
5002,-1,300,60,1477
5003,1,130,49,1634
5004,-1,127,88,1596
5005,-1,200,98,1564
5006,-1,123,88,1435
5007,1,241,29,1518
5008,1,0,81,1563
5009,1,4,59,1337
5010,1,123,11,1457
5011,1,40,15,1570
5012,1,240,29,1716
5013,1,241,69,1719
5014,1,300,119,1703
5015,-1,241,52,1569
5016,-1,10,12,1719
5017,-1,246,34,1305
5018,1,246,63,1294
5019,1,224,99,1665
5020,-1,202,38,1384
5021,-1,255,46,1311
5022,-1,300,118,1517
5023,1,240,71,1789
5024,1,241,51,1582
5025,-1,4,42,1634
5026,1,242,105,1744
5027,-1,220,66,1572
5028,0,223,121,1437
5029,0,223,129,1437
5030,0,223,131,1437
5031,0,223,133,1437
5032,0,223,135,1437
5033,0,223,137,1437
5034,0,223,139,1437
5035,0,223,140,1437
5036,0,223,141,1437
5037,0,223,142,1437
5038,0,223,143,1437
5039,0,223,144,1437
5040,0,223,145,1437
5041,0,223,146,1437
5042,0,223,147,1437
5043,0,223,148,1437
5044,0,223,149,1437
5045,0,223,150,1437
5046,1,100,91,1525
5047,1,241,13,1564
5048,-1,302,70,1440
5049,-1,264,94,1760
5050,1,306,59,1828
5051,-1,241,74,1564
5052,1,100,17,1662
5053,-1,0,52,1595
5054,-1,255,110,1409
5055,1,226,115,1564
5056,1,4,67,1388
5057,1,250,67,1593
5058,1,244,37,1649
5059,-1,101,38,1487
5060,1,241,63,1672
5061,-1,100,38,1504
5062,1,225,71,1595
5063,-1,223,56,1320
5064,1,240,101,1542
5065,0,200,114,1945
5066,0,200,118,1945
5067,0,200,122,1945
5068,0,200,123,1945
5069,0,200,124,1945
5070,0,200,125,1945
5071,0,200,126,1945
5072,0,200,127,1945
5073,0,200,128,1945
5074,0,200,129,1945
5075,0,200,130,1945
5076,0,200,131,1945
5077,0,200,132,1945
5078,0,200,133,1945
5079,0,200,134,1945
5080,0,200,135,1945
5081,0,200,136,1945
5082,0,200,137,1945
5083,0,200,138,1945
5084,0,200,139,1945
5085,0,200,140,1945
5086,0,200,141,1945
5087,0,200,142,1945
5088,0,200,143,1945
5089,0,200,144,1945
5090,0,200,145,1945
5091,0,200,146,1945
5092,0,200,147,1945
5093,0,200,148,1945
5094,0,200,149,1945
5095,0,200,150,1945
5096,-1,265,114,1338
5097,0,22,118,1499
5098,1,300,65,1512
5099,-1,343,96,1966
5100,1,255,63,1592
5101,1,100,39,1422
5102,1,255,41,1599
5103,1,120,73,1927
5104,-1,202,66,1690
5105,1,200,39,1511
